name,health_amenity_type,amenity,healthcare,operator,operational_status,beds,longitude,latitude,adm2_pcode,district,facility_type
دكتور فارس القاضي مفاصل و فقرات,,clinic,clinic,,,,44.0315978756919,36.1919891691735,IQG11Q02,Erbil,clinic
,,pharmacy,,,,,44.5427436817524,36.6432686567407,IQG11Q05,Rawanduz,pharmacy
دەرمانخانەی ئەشرەفیە,,pharmacy,pharmacy,,,,44.0136634527477,36.1544331299952,IQG11Q02,Erbil,pharmacy
Senses Beauty Medical Center,,clinic,clinic,,,,43.9677924818023,36.1949889685002,IQG11Q02,Erbil,clinic
نۆرینگەی دکتۆر ئەژی ڕواندزی,,clinic,clinic,,,,44.0358066807325,36.2021286736234,IQG11Q02,Erbil,clinic
Baxtiary healthcare center,,hospital,,,,,44.5255951460497,36.6578493964061,IQG11Q05,Rawanduz,hospital
,,pharmacy,pharmacy,,,,43.9871419376402,36.2324978175637,IQG11Q02,Erbil,pharmacy
کۆنترۆل کوالیتی دەرمان,,hospital,hospital,,,,44.0362168910738,36.2183094347857,IQG11Q02,Erbil,hospital
,,pharmacy,pharmacy,,,,44.0041863701055,36.1942385367091,IQG11Q02,Erbil,pharmacy
,,pharmacy,pharmacy,,,,44.0536964281328,36.1799406862757,IQG11Q02,Erbil,pharmacy
دەرمانخانەی دلۆڤان,,pharmacy,pharmacy,,,,44.0357968739058,36.319521083244,IQG11Q02,Erbil,pharmacy
ناوەندی چارەسەری فیزیایی ئەوڕوپایی,,,physiotherapist,,,,44.0358579779799,36.1972196443918,IQG11Q02,Erbil,physiotherapist
,,pharmacy,,,,,43.9742196413367,36.1680510404431,IQG11Q02,Erbil,pharmacy
NORIN PHARMACY,,pharmacy,pharmacy,,,,44.041190880055,36.1893250650688,IQG11Q02,Erbil,pharmacy
,,hospital,hospital,,,,43.9996370921581,36.1637769403769,IQG11Q02,Erbil,hospital
د. سروە خالید ئیسماعیل,,doctors,doctor,,,,44.0360250293101,36.196282463798,IQG11Q02,Erbil,doctors
